date,material,expected_qty,actual_qty,variance
2025-06-17,Chemical_B,1079,1144,65
2025-06-17,Packaging_C,647,629,-18
2025-06-17,Resin_D,1141,1143,2
2025-06-18,Pulp_A,544,497,-47
2025-06-18,Chemical_B,704,695,-9
2025-06-18,Packaging_C,930,870,-60
2025-06-18,Resin_D,540,481,-59
2025-06-19,Pulp_A,1133,1127,-6
2025-06-19,Chemical_B,830,832,2
2025-06-19,Packaging_C,1005,1089,84
2025-06-19,Resin_D,1168,1252,84
2025-06-20,Pulp_A,797,864,67
2025-06-20,Chemical_B,796,797,1
2025-06-20,Packaging_C,857,924,67
2025-06-20,Resin_D,1017,1058,41
2025-06-21,Pulp_A,769,763,-6
2025-06-21,Chemical_B,917,865,-52
2025-06-21,Packaging_C,834,906,72
2025-06-21,Resin_D,1105,1090,-15
2025-06-22,Pulp_A,586,547,-39
2025-06-22,Chemical_B,792,803,11
2025-06-22,Packaging_C,707,711,4
2025-06-22,Resin_D,1163,1238,75
2025-06-23,Pulp_A,1048,1110,62
2025-06-23,Chemical_B,1167,1218,51
2025-06-23,Packaging_C,1058,1080,22
2025-06-23,Resin_D,827,835,8
2025-06-24,Pulp_A,1163,1213,50
2025-06-24,Chemical_B,1125,1173,48
2025-06-24,Packaging_C,896,869,-27
2025-06-24,Resin_D,795,841,46
2025-06-25,Pulp_A,780,850,70
2025-06-25,Chemical_B,1112,1057,-55
2025-06-25,Packaging_C,857,939,82
2025-06-25,Resin_D,702,721,19
2025-06-26,Pulp_A,1025,1045,20
2025-06-26,Chemical_B,1191,1111,-80
2025-06-26,Packaging_C,767,801,34
2025-06-26,Resin_D,861,932,71
2025-06-27,Pulp_A,1148,1227,79
2025-06-27,Chemical_B,843,795,-48
2025-06-27,Packaging_C,704,693,-11
2025-06-27,Resin_D,804,827,23
2025-06-28,Pulp_A,569,503,-66
2025-06-28,Chemical_B,756,816,60
2025-06-28,Packaging_C,1136,1213,77
2025-06-28,Resin_D,1030,1068,38
2025-06-29,Pulp_A,964,985,21
2025-06-29,Chemical_B,1188,1237,49
2025-06-29,Packaging_C,827,856,29
2025-06-29,Resin_D,628,650,22
